,Conditions,Drug,Smiles,Phases,Disease
10,"Cancer|Pancreatic Cancer|Sarcoma|Renal Cancer|Refractory Cancer|Refractory Neoplasm|Refractory Non-Hodgkin Lymphoma|Pancreatic Adenocarcinoma|Resistant Cancer|Neoplasm Metastasis|Neoplasm of Bone|Neoplasm, Breast|Neoplasm of Lung|Neoplasms,Colorectal|Neoplasms Pancreatic|Malignant Glioma|Malignancies|Malignancies Multiple|Bone Metastases|Bone Neoplasm|Bone Cancer|Pancreas Cancer|Pancreatic Neoplasms|Breast Neoplasms|Acute T Cell Leukemia Lymphoma",Paclitaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,PHASE2,digestive_system_disease
11,Hepatocellular Carcinoma,Cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,PHASE2|PHASE3,digestive_system_disease
12,Pancreatic Cancer|Pancreas Cancer|Ampullary Cancer|Pancreas Neuroendocrine Tumor|Pancreatitis|Distal Extrahepatic Cholangiocarcinoma|Duodenal Cancer,Pantoprazole,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,PHASE2,digestive_system_disease
13,Hepatocellular Carcinoma,Sorafenib,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,PHASE1,digestive_system_disease
14,Irritable Bowel Syndrome,Ciclosporin,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,PHASE2,digestive_system_disease
15,Irritable Bowel Syndrome,Chloroquine,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,PHASE2,digestive_system_disease
16,Glioma|Hematopoietic and Lymphoid Cell Neoplasm|Lymphoma|Metastatic Malignant Solid Neoplasm|Neuroendocrine Neoplasm|Recurrent Adult Soft Tissue Sarcoma|Recurrent Bladder Carcinoma|Recurrent Breast Carcinoma|Recurrent Chronic Lymphocytic Leukemia|Recurrent Colorectal Carcinoma|Recurrent Head and Neck Carcinoma|Recurrent Lung Carcinoma|Recurrent Malignant Solid Neoplasm|Recurrent Melanoma|Recurrent Pancreatic Carcinoma|Recurrent Primary Cutaneous T-Cell Non-Hodgkin Lymphoma|Recurrent Prostate Carcinoma|Recurrent Renal Cell Carcinoma|Recurrent Thyroid Gland Carcinoma|Refractory Chronic Lymphocytic Leukemia|Refractory Mature T-Cell and NK-Cell Non-Hodgkin Lymphoma|Refractory Primary Cutaneous T-Cell Non-Hodgkin Lymphoma|Stage III Breast Cancer AJCC v7|Stage III Colorectal Cancer AJCC v7|Stage III Cutaneous Melanoma AJCC v7|Stage III Lung Cancer AJCC v7|Stage III Pancreatic Cancer AJCC v6 and v7|Stage III Prostate Cancer AJCC v7|Stage III Renal Cell Cancer AJCC v7|Stage III Soft Tissue Sarcoma AJCC v7|Stage IIIA Breast Cancer AJCC v7|Stage IIIA Colorectal Cancer AJCC v7|Stage IIIA Cutaneous Melanoma AJCC v7|Stage IIIB Breast Cancer AJCC v7|Stage IIIB Colorectal Cancer AJCC v7|Stage IIIB Cutaneous Melanoma AJCC v7|Stage IIIC Breast Cancer AJCC v7|Stage IIIC Colorectal Cancer AJCC v7|Stage IIIC Cutaneous Melanoma AJCC v7|Stage IV Breast Cancer AJCC v6 and v7|Stage IV Colorectal Cancer AJCC v7|Stage IV Cutaneous Melanoma AJCC v6 and v7|Stage IV Lung Cancer AJCC v7|Stage IV Pancreatic Cancer AJCC v6 and v7|Stage IV Prostate Cancer AJCC v7|Stage IV Renal Cell Cancer AJCC v7|Stage IV Soft Tissue Sarcoma AJCC v7|Stage IVA Colorectal Cancer AJCC v7|Stage IVB Colorectal Cancer AJCC v7|Unresectable Solid Neoplasm,Romidepsin,CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C,PHASE1,digestive_system_disease
17,Colorectal Cancer,Cabozantinib,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F,PHASE1,digestive_system_disease
18,Portal Hypertension,Alverine,CCN(CCCC1=CC=CC=C1)CCCC2=CC=CC=C2,PHASE2,digestive_system_disease
19,Hemorrhoids,Iferanserin,CN1CCCCC1CCC2=CC=CC=C2NC(=O)C=CC3=CC=CC=C3,PHASE2,digestive_system_disease
20,SHR-1210|Anlotinib|Advanced Esophageal Squamous Cell Cancer,Anlotinib,CC1=CC2=C(N1)C=CC(=C2F)OC3=C4C=C(C(=CC4=NC=C3)OCC5(CC5)N)OC,PHASE2,digestive_system_disease
21,Esophageal Carcinoma|Neoadjuvant Immunotherapy,Nedaplatin,C(C(=O)O)O.N.N.[Pt],PHASE1|PHASE2,digestive_system_disease
22,Colorectal Cancer,Simvastatin,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,PHASE2,digestive_system_disease
23,Colorectal Neoplasms|Adenocarcinoma of the Colon|Adenocarcinoma of the Rectum,Regorafenib,CNC(=O)C1=NC=CC(=C1)OC2=CC(=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)F,PHASE2,digestive_system_disease
24,Stomach Cancer,Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,PHASE2|PHASE3,digestive_system_disease
25,Locally Advanced Biliary Tract Cancer|Metastatic Biliary Tract Cancer,Rivoceranib,C1CCC(C1)(C#N)C2=CC=C(C=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4,PHASE1|PHASE2,digestive_system_disease
26,Gastric Cancer|Gastroesophageal Junction Adenocarcinoma,Oxaliplatin,C1CCC(C(C1)[NH-])[NH-].C(=O)(C(=O)O)O.[Pt+2],PHASE2,digestive_system_disease
27,Chronic Hepatitis C,Simeprevir,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,PHASE2,digestive_system_disease
28,Chronic Hepatitis C,Sofosbuvir,CC(C)OC(=O)C(C)NP(=O)(OCC1C(C(C(O1)N2C=CC(=O)NC2=O)(C)F)O)OC3=CC=CC=C3,PHASE2,digestive_system_disease
29,"Rectal Cancer, Adenocarcinoma|Locally Advanced Malignant Neoplasm|Chemoradiation",Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,PHASE2,digestive_system_disease
30,Ovarian Neoplasms|Neoplasms|Solid Tumor|Hepatic Impairment,Niraparib,C1CC(CNC1)C2=CC=C(C=C2)N3C=C4C=CC=C(C4=N3)C(=O)N,PHASE1,digestive_system_disease
31,Metastatic Malignant Neoplasm in the Liver|Stage IV Colorectal Cancer AJCC v8|Stage IVA Colorectal Cancer AJCC v8|Stage IVB Colorectal Cancer AJCC v8|Stage IVC Colorectal Cancer AJCC v8,Vactosertib,CC1=NC(=CC=C1)C2=C(N=C(N2)CNC3=CC=CC=C3F)C4=CN5C(=NC=N5)C=C4,PHASE2,digestive_system_disease
32,"Hepatitis C, Chronic",Ribavirin,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N,PHASE2,digestive_system_disease
33,Hepatitis C Virus Genotype 4 Infection,Asunaprevir,CC(C)(C)C(C(=O)N1CC(CC1C(=O)NC2(CC2C=C)C(=O)NS(=O)(=O)C3CC3)OC4=NC=C(C5=C4C=C(C=C5)Cl)OC)NC(=O)OC(C)(C)C,PHASE2,digestive_system_disease
34,Hepatitis C Virus Genotype 4 Infection,Daclatasvir,CC(C)C(C(=O)N1CCCC1C2=NC=C(N2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CN=C(N5)C6CCCN6C(=O)C(C(C)C)NC(=O)OC)NC(=O)OC,PHASE2,digestive_system_disease
35,Colorectal Adenocarcinoma Metastatic to the Liver,Floxuridine,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O,PHASE2,digestive_system_disease
36,Colorectal Adenocarcinoma Metastatic to the Liver,Fluorouracil,C1=C(C(=O)NC(=O)N1)F,PHASE2,digestive_system_disease
37,Colorectal Adenocarcinoma Metastatic to the Liver,Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,PHASE2,digestive_system_disease
38,Colorectal Adenocarcinoma Metastatic to the Liver,Leucovorin,C1C(N(C2=C(N1)N=C(NC2=O)N)C=O)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,PHASE2,digestive_system_disease
39,BRAF V600E|Metastatic Colorectal Cancer,Encorafenib,CC(C)N1C=C(C(=N1)C2=C(C(=CC(=C2)Cl)NS(=O)(=O)C)F)C3=NC(=NC=C3)NCC(C)NC(=O)OC,PHASE2,digestive_system_disease
40,Idiopathic Pruritus Ani,Mebendazole,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,PHASE2,digestive_system_disease
41,Rectal Cancer,Tecemotide,CCCCCCCCCCCCCCCC(=O)NCCCCC(C(=O)NCC(=O)O)NC(=O)C1CCCN1C(=O)C2CCCN2C(=O)C(C)NC(=O)C(C(C)O)NC(=O)C(CO)NC(=O)CNC(=O)C3CCCN3C(=O)C(C)NC(=O)C4CCCN4C(=O)C(CCCNC(=N)N)NC(=O)C(C(C)O)NC(=O)C(CC(=O)O)NC(=O)C5CCCN5C(=O)C(C)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(C(C)C)NC(=O)CNC(=O)C(CC6=CN=CN6)NC(=O)C(C)NC(=O)C7CCCN7C(=O)C8CCCN8C(=O)C(C)NC(=O)C(C(C)O)NC(=O)C(CO)N,PHASE2,digestive_system_disease
42,Nonalcoholic Steatohepatitis (NASH),Miricorilant,C1CC(CCC1C2=CC=CC=C2)C3=C(C(=O)NC(=O)N3)CC4=CC(=CC=C4)C(F)(F)F,PHASE2,digestive_system_disease
43,Gastric Cancer,Raltitrexed,CC1=NC2=C(C=C(C=C2)CN(C)C3=CC=C(S3)C(=O)NC(CCC(=O)O)C(=O)O)C(=O)N1,PHASE2,digestive_system_disease
44,Spatial Neglect|Dysphagia,Modafinil,C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N,PHASE2,digestive_system_disease
45,Adult Glioblastoma|Endometrial Clear Cell Adenocarcinoma|Endometrial Serous Adenocarcinoma|Ovarian Clear Cell Cystadenocarcinoma|Ovarian Endometrioid Adenocarcinoma|Ovarian Mucinous Cystadenocarcinoma|Ovarian Serous Cystadenocarcinoma|Recurrent Fallopian Tube Carcinoma|Recurrent Ovarian Carcinoma|Recurrent Primary Peritoneal Carcinoma|Recurrent Uterine Corpus Cancer|Solid Neoplasm|Stage IIIA Fallopian Tube Cancer AJCC v7|Stage IIIA Ovarian Cancer AJCC v6 and v7|Stage IIIA Primary Peritoneal Cancer AJCC v7|Stage IIIB Fallopian Tube Cancer AJCC v7|Stage IIIB Ovarian Cancer AJCC v6 and v7|Stage IIIB Primary Peritoneal Cancer AJCC v7|Stage IIIC Fallopian Tube Cancer AJCC v7|Stage IIIC Ovarian Cancer AJCC v6 and v7|Stage IIIC Primary Peritoneal Cancer AJCC v7|Stage IV Fallopian Tube Cancer AJCC v6 and v7|Stage IV Ovarian Cancer AJCC v6 and v7|Stage IV Primary Peritoneal Cancer AJCC v7,Sapanisertib,CC(C)N1C2=NC=NC(=C2C(=N1)C3=CC4=C(C=C3)OC(=N4)N)N,PHASE1,digestive_system_disease
46,GERD,Esomeprazole,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,PHASE2,digestive_system_disease
47,Gastrointestinal Problems|Autism Spectrum Disorders,Vancomycin,CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,PHASE1|PHASE2,digestive_system_disease
48,Gastrointestinal Problems|Autism Spectrum Disorders,Omeprazole,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,PHASE1|PHASE2,digestive_system_disease
49,Nasopharyngeal Neoplasms|Salivary Gland Diseases|Bone Marrow Diseases|Mucositis,Amifostine,C(CN)CNCCSP(=O)(O)O,PHASE2,digestive_system_disease
50,Colorectal Cancer,Tocotrienol,CC(=CCCC(=CCCC(=CCCC1(CCC2=C(O1)C=CC(=C2)O)C)C)C)C,PHASE2,digestive_system_disease
51,Hepatitis C Virus,Escitalopram,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,PHASE1,digestive_system_disease
52,Hepatitis B,Clevudine,CC1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)F,PHASE2,digestive_system_disease
53,Cystic Fibrosis,Lansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,PHASE1,digestive_system_disease
54,Liver Cancer,Gefitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,PHASE2,digestive_system_disease
55,Pancreatic Cancer,Erlotinib,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,PHASE2,digestive_system_disease
56,Cystic Fibrosis,Tiotropium,C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(C4=CC=CS4)(C5=CC=CS5)O)C,PHASE2,digestive_system_disease
57,"Healthy, Hepatic Insufficiency",Palbociclib,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,PHASE1,digestive_system_disease
58,Metastatic or Recurrent Squamous Cell Carcinoma of the Esophagus,Lapatinib,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,PHASE2,digestive_system_disease
59,Pancreatic Cancer,Etoposide,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,PHASE2,digestive_system_disease
60,Low Anterior Resection Syndrome,Melatonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,PHASE2,digestive_system_disease
61,HCV,Ravidasvir,CC(C)C(C(=O)N1CCCC1C2=NC3=C(N2)C=C(C=C3)C4=CC5=C(C=C4)C=C(C=C5)C6=CN=C(N6)C7CCCN7C(=O)C(C(C)C)NC(=O)OC)NC(=O)OC,PHASE2|PHASE3,digestive_system_disease
62,HCV,Danoprevir,CC(C)(C)OC(=O)NC1CCCCCC=CC2CC2(NC(=O)C3CC(CN3C1=O)OC(=O)N4CC5=C(C4)C(=CC=C5)F)C(=O)NS(=O)(=O)C6CC6,PHASE2|PHASE3,digestive_system_disease
63,HCV,Ritonavir,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,PHASE2|PHASE3,digestive_system_disease
64,Hepatitis C,Grazoprevir,CC(C)(C)C1C(=O)N2CC(CC2C(=O)NC3(CC3C=C)C(=O)NS(=O)(=O)C4CC4)OC5=NC6=C(C=CC(=C6)OC)N=C5CCCCCC7CC7OC(=O)N1,PHASE2|PHASE3,digestive_system_disease
65,Hepatitis C,Elbasvir,CC(C)C(C(=O)N1CCCC1C2=NC=C(N2)C3=CC4=C(C=C3)N5C(OC6=C(C5=C4)C=CC(=C6)C7=CN=C(N7)C8CCCN8C(=O)C(C(C)C)NC(=O)OC)C9=CC=CC=C9)NC(=O)OC,PHASE2|PHASE3,digestive_system_disease
66,Dumping Syndrome,Lanreotide,CC(C)C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)O)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)N)C(=O)NC(C(C)O)C(=O)N,PHASE2,digestive_system_disease
67,Gastrointestinal Bleeding of Unknown Origin|Gastrointestinal Vascular Malformation|Thalidomide Efficiency,Thalidomide,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,PHASE2,digestive_system_disease
68,HIV Infections|Hepatitis B,Adefovir,C1=NC(=C2C(=N1)N(C=N2)CCOCP(=O)(O)O)N,PHASE2,digestive_system_disease
69,HIV Infections|Hepatitis B,Tenofovir,CC(CN1C=NC2=C(N=CN=C21)N)OCP(=O)(O)O,PHASE2,digestive_system_disease
70,Pancreatic Neoplasms,Surufatinib,CC1=CC2=C(N1)C=CC(=C2)OC3=NC(=NC=C3)NC4=CC=CC(=C4)CS(=O)(=O)NCCN(C)C,PHASE2,digestive_system_disease
71,Pancreatic Neuroendocrine Tumour Metastatic,Sunitinib,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,PHASE2,digestive_system_disease
72,Peritoneal Carcinomatosis|Peritoneal Mesothelioma|Ovarian Cancer|Gastrointestinal Cancer|Appendiceal Cancer,Mitomycin C,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,PHASE1,digestive_system_disease
73,Peritoneal Carcinomatosis|Peritoneal Mesothelioma|Ovarian Cancer|Gastrointestinal Cancer|Appendiceal Cancer,Mitomycin,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,PHASE1,digestive_system_disease
74,Pancreatic Adenocarcinoma|Stage III Pancreatic Cancer AJCC v6 and v7,Triapine,C1=CC(=C(N=C1)C=NNC(=S)N)N,PHASE1,digestive_system_disease
75,Colorectal Neoplasm|Hereditary Nonpolyposis,Celecoxib,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,PHASE1,digestive_system_disease
76,"Hepatitis B, Chronic",Entecavir,C=C1C(CC(C1CO)O)N2C=NC3=C2N=C(NC3=O)N,PHASE2,digestive_system_disease
77,Non-alcoholic Steatohepatitis,Mebrofenin,CC1=CC(=C(C(=C1NC(=O)CN(CC(=O)O)CC(=O)O)C)Br)C,PHASE1,digestive_system_disease
78,"Carcinoma, Hepatocellular",Idarubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O,PHASE2,digestive_system_disease
79,Gastroesophageal Reflux Disease|Heartburn,Amiloride,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,PHASE1,digestive_system_disease
80,Adenocarcinoma - GEJ|Cancer of Esophagus,Temozolomide,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,PHASE2,digestive_system_disease
81,Crohn's Disease,Nitazoxanide,CC(=O)OC1=CC=CC=C1C(=O)NC2=NC=C(S2)[N+](=O)[O-],PHASE2,digestive_system_disease
82,Hepatocellular Carcinoma,Chiauranib,COC1=CC2=NC=CC(=C2C=C1)OC3=CC4=C(C=C3)C(=CC=C4)C(=O)NC5=CC=CC=C5N,PHASE1|PHASE2,digestive_system_disease
83,Hepatitis C,Telaprevir,CCCC(C(=O)C(=O)NC1CC1)NC(=O)C2C3CCCC3CN2C(=O)C(C(C)(C)C)NC(=O)C(C4CCCCC4)NC(=O)C5=NC=CN=C5,PHASE2,digestive_system_disease
84,Lung Cancer|Esophageal Cancer|Mesothelioma|Gastrointestinal Neoplasms|Breast Cancer,Plicamycin,CC1C(C(CC(O1)OC2CC(OC(C2O)C)OC3=CC4=CC5=C(C(=O)C(C(C5)C(C(=O)C(C(C)O)O)OC)OC6CC(C(C(O6)C)O)OC7CC(C(C(O7)C)O)OC8CC(C(C(O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O,PHASE2,digestive_system_disease
85,Hepatocellular Carcinoma,Lenvatinib,COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl,PHASE2,digestive_system_disease
86,Gastric Cancer,Telatinib,CNC(=O)C1=NC=CC(=C1)COC2=NN=C(C3=C2OC=C3)NC4=CC=C(C=C4)Cl,PHASE2,digestive_system_disease
87,Eosinophilic Esophagitis,Fluticasone,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)SCF)O)C)O)F)C)F,PHASE2,digestive_system_disease
88,Polycystic Liver Disease|Autosomal Dominant Polycystic Kidney,Leuprorelin,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6,PHASE2,digestive_system_disease
89,Polycystic Liver Disease|Autosomal Dominant Polycystic Kidney,Leuprolide,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6,PHASE2,digestive_system_disease
90,Pancreatic Cancer,Enzalutamide,CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C,PHASE1,digestive_system_disease
91,"Hepatitis C, Chronic",Taribavirin,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=N)N,PHASE2,digestive_system_disease
92,Hepatic Impairment,Tivozanib,CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl,PHASE1,digestive_system_disease
93,Gastrointestinal Neoplasms,Ulixertinib,CC(C)NC1=NC=C(C(=C1)C2=CNC(=C2)C(=O)NC(CO)C3=CC(=CC=C3)Cl)Cl,PHASE1,digestive_system_disease
94,Gastrointestinal Neoplasms,Hydroxychloroquine,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO,PHASE1,digestive_system_disease
95,Advanced Solid Tumors|Hematologic Malignancies,Ixazomib,B(C(CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,PHASE1,digestive_system_disease
