,Unnamed: 0,Conditions,Drug,Smiles,Phases,Study Status,Disease
6550,5351,Advanced Malignant Solid Neoplasm|Bladder Carcinoma|Breast Carcinoma|Cervical Carcinoma|Colon Carcinoma|Colorectal Carcinoma|Endometrial Carcinoma|Esophageal Carcinoma|Gastric Carcinoma|Glioma|Head and Neck Carcinoma|Kidney Carcinoma|Liver and Intrahepatic Bile Duct Carcinoma|Lung Carcinoma|Lymphoma|Malignant Uterine Neoplasm|Melanoma|Multiple Myeloma|Ovarian Carcinoma|Pancreatic Carcinoma|Prostate Carcinoma|Rectal Carcinoma|Recurrent Bladder Carcinoma|Recurrent Breast Carcinoma|Recurrent Cervical Carcinoma|Recurrent Colon Carcinoma|Recurrent Colorectal Carcinoma|Recurrent Esophageal Carcinoma|Recurrent Gastric Carcinoma|Recurrent Glioma|Recurrent Head and Neck Carcinoma|Recurrent Liver Carcinoma|Recurrent Lung Carcinoma|Recurrent Lymphoma|Recurrent Malignant Solid Neoplasm|Recurrent Melanoma|Recurrent Multiple Myeloma|Recurrent Ovarian Carcinoma|Recurrent Pancreatic Carcinoma|Recurrent Prostate Carcinoma|Recurrent Rectal Carcinoma|Recurrent Skin Carcinoma|Recurrent Thyroid Gland Carcinoma|Recurrent Uterine Corpus Cancer|Refractory Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Multiple Myeloma|Skin Carcinoma|Thyroid Gland Carcinoma|Uterine Corpus Cancer,Trametinib,CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,PHASE2,,urinary_system_disease
6549,5350,Advanced Malignant Solid Neoplasm|Bladder Carcinoma|Breast Carcinoma|Cervical Carcinoma|Colon Carcinoma|Colorectal Carcinoma|Endometrial Carcinoma|Esophageal Carcinoma|Gastric Carcinoma|Glioma|Head and Neck Carcinoma|Kidney Carcinoma|Liver and Intrahepatic Bile Duct Carcinoma|Lung Carcinoma|Lymphoma|Malignant Uterine Neoplasm|Melanoma|Multiple Myeloma|Ovarian Carcinoma|Pancreatic Carcinoma|Prostate Carcinoma|Rectal Carcinoma|Recurrent Bladder Carcinoma|Recurrent Breast Carcinoma|Recurrent Cervical Carcinoma|Recurrent Colon Carcinoma|Recurrent Colorectal Carcinoma|Recurrent Esophageal Carcinoma|Recurrent Gastric Carcinoma|Recurrent Glioma|Recurrent Head and Neck Carcinoma|Recurrent Liver Carcinoma|Recurrent Lung Carcinoma|Recurrent Lymphoma|Recurrent Malignant Solid Neoplasm|Recurrent Melanoma|Recurrent Multiple Myeloma|Recurrent Ovarian Carcinoma|Recurrent Pancreatic Carcinoma|Recurrent Prostate Carcinoma|Recurrent Rectal Carcinoma|Recurrent Skin Carcinoma|Recurrent Thyroid Gland Carcinoma|Recurrent Uterine Corpus Cancer|Refractory Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Multiple Myeloma|Skin Carcinoma|Thyroid Gland Carcinoma|Uterine Corpus Cancer,Taselisib,CC1=NN(C(=N1)C2=CN3CCOC4=C(C3=N2)C=CC(=C4)C5=CN(N=C5)C(C)(C)C(=O)N)C(C)C,PHASE2,,urinary_system_disease
6548,5344,Advanced Malignant Solid Neoplasm|Bladder Carcinoma|Breast Carcinoma|Cervical Carcinoma|Colon Carcinoma|Colorectal Carcinoma|Endometrial Carcinoma|Esophageal Carcinoma|Gastric Carcinoma|Glioma|Head and Neck Carcinoma|Kidney Carcinoma|Liver and Intrahepatic Bile Duct Carcinoma|Lung Carcinoma|Lymphoma|Malignant Uterine Neoplasm|Melanoma|Multiple Myeloma|Ovarian Carcinoma|Pancreatic Carcinoma|Prostate Carcinoma|Rectal Carcinoma|Recurrent Bladder Carcinoma|Recurrent Breast Carcinoma|Recurrent Cervical Carcinoma|Recurrent Colon Carcinoma|Recurrent Colorectal Carcinoma|Recurrent Esophageal Carcinoma|Recurrent Gastric Carcinoma|Recurrent Glioma|Recurrent Head and Neck Carcinoma|Recurrent Liver Carcinoma|Recurrent Lung Carcinoma|Recurrent Lymphoma|Recurrent Malignant Solid Neoplasm|Recurrent Melanoma|Recurrent Multiple Myeloma|Recurrent Ovarian Carcinoma|Recurrent Pancreatic Carcinoma|Recurrent Prostate Carcinoma|Recurrent Rectal Carcinoma|Recurrent Skin Carcinoma|Recurrent Thyroid Gland Carcinoma|Recurrent Uterine Corpus Cancer|Refractory Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Multiple Myeloma|Skin Carcinoma|Thyroid Gland Carcinoma|Uterine Corpus Cancer,Osimertinib,CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC,PHASE2,,urinary_system_disease
6547,5338,Advanced Malignant Solid Neoplasm|Bladder Carcinoma|Breast Carcinoma|Cervical Carcinoma|Colon Carcinoma|Colorectal Carcinoma|Endometrial Carcinoma|Esophageal Carcinoma|Gastric Carcinoma|Glioma|Head and Neck Carcinoma|Kidney Carcinoma|Liver and Intrahepatic Bile Duct Carcinoma|Lung Carcinoma|Lymphoma|Malignant Uterine Neoplasm|Melanoma|Multiple Myeloma|Ovarian Carcinoma|Pancreatic Carcinoma|Prostate Carcinoma|Rectal Carcinoma|Recurrent Bladder Carcinoma|Recurrent Breast Carcinoma|Recurrent Cervical Carcinoma|Recurrent Colon Carcinoma|Recurrent Colorectal Carcinoma|Recurrent Esophageal Carcinoma|Recurrent Gastric Carcinoma|Recurrent Glioma|Recurrent Head and Neck Carcinoma|Recurrent Liver Carcinoma|Recurrent Lung Carcinoma|Recurrent Lymphoma|Recurrent Malignant Solid Neoplasm|Recurrent Melanoma|Recurrent Multiple Myeloma|Recurrent Ovarian Carcinoma|Recurrent Pancreatic Carcinoma|Recurrent Prostate Carcinoma|Recurrent Rectal Carcinoma|Recurrent Skin Carcinoma|Recurrent Thyroid Gland Carcinoma|Recurrent Uterine Corpus Cancer|Refractory Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Multiple Myeloma|Skin Carcinoma|Thyroid Gland Carcinoma|Uterine Corpus Cancer,Ipatasertib,CC1CC(C2=C1C(=NC=N2)N3CCN(CC3)C(=O)C(CNC(C)C)C4=CC=C(C=C4)Cl)O,PHASE2,,urinary_system_disease
6546,5335,Advanced Malignant Solid Neoplasm|Bladder Carcinoma|Breast Carcinoma|Cervical Carcinoma|Colon Carcinoma|Colorectal Carcinoma|Endometrial Carcinoma|Esophageal Carcinoma|Gastric Carcinoma|Glioma|Head and Neck Carcinoma|Kidney Carcinoma|Liver and Intrahepatic Bile Duct Carcinoma|Lung Carcinoma|Lymphoma|Malignant Uterine Neoplasm|Melanoma|Multiple Myeloma|Ovarian Carcinoma|Pancreatic Carcinoma|Prostate Carcinoma|Rectal Carcinoma|Recurrent Bladder Carcinoma|Recurrent Breast Carcinoma|Recurrent Cervical Carcinoma|Recurrent Colon Carcinoma|Recurrent Colorectal Carcinoma|Recurrent Esophageal Carcinoma|Recurrent Gastric Carcinoma|Recurrent Glioma|Recurrent Head and Neck Carcinoma|Recurrent Liver Carcinoma|Recurrent Lung Carcinoma|Recurrent Lymphoma|Recurrent Malignant Solid Neoplasm|Recurrent Melanoma|Recurrent Multiple Myeloma|Recurrent Ovarian Carcinoma|Recurrent Pancreatic Carcinoma|Recurrent Prostate Carcinoma|Recurrent Rectal Carcinoma|Recurrent Skin Carcinoma|Recurrent Thyroid Gland Carcinoma|Recurrent Uterine Corpus Cancer|Refractory Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Multiple Myeloma|Skin Carcinoma|Thyroid Gland Carcinoma|Uterine Corpus Cancer,Defactinib,CNC(=O)C1=CC=C(C=C1)NC2=NC=C(C(=N2)NCC3=NC=CN=C3N(C)S(=O)(=O)C)C(F)(F)F,PHASE2,,urinary_system_disease
6545,5326,Advanced Malignant Solid Neoplasm|Bladder Carcinoma|Breast Carcinoma|Cervical Carcinoma|Colon Carcinoma|Colorectal Carcinoma|Endometrial Carcinoma|Esophageal Carcinoma|Gastric Carcinoma|Glioma|Head and Neck Carcinoma|Kidney Carcinoma|Liver and Intrahepatic Bile Duct Carcinoma|Lung Carcinoma|Lymphoma|Malignant Uterine Neoplasm|Melanoma|Multiple Myeloma|Ovarian Carcinoma|Pancreatic Carcinoma|Prostate Carcinoma|Rectal Carcinoma|Recurrent Bladder Carcinoma|Recurrent Breast Carcinoma|Recurrent Cervical Carcinoma|Recurrent Colon Carcinoma|Recurrent Colorectal Carcinoma|Recurrent Esophageal Carcinoma|Recurrent Gastric Carcinoma|Recurrent Glioma|Recurrent Head and Neck Carcinoma|Recurrent Liver Carcinoma|Recurrent Lung Carcinoma|Recurrent Lymphoma|Recurrent Malignant Solid Neoplasm|Recurrent Melanoma|Recurrent Multiple Myeloma|Recurrent Ovarian Carcinoma|Recurrent Pancreatic Carcinoma|Recurrent Prostate Carcinoma|Recurrent Rectal Carcinoma|Recurrent Skin Carcinoma|Recurrent Thyroid Gland Carcinoma|Recurrent Uterine Corpus Cancer|Refractory Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Multiple Myeloma|Skin Carcinoma|Thyroid Gland Carcinoma|Uterine Corpus Cancer,Capivasertib,C1CN(CCC1(C(=O)NC(CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4,PHASE2,,urinary_system_disease
6544,5325,Advanced Malignant Solid Neoplasm|Bladder Carcinoma|Breast Carcinoma|Cervical Carcinoma|Colon Carcinoma|Colorectal Carcinoma|Endometrial Carcinoma|Esophageal Carcinoma|Gastric Carcinoma|Glioma|Head and Neck Carcinoma|Kidney Carcinoma|Liver and Intrahepatic Bile Duct Carcinoma|Lung Carcinoma|Lymphoma|Malignant Uterine Neoplasm|Melanoma|Multiple Myeloma|Ovarian Carcinoma|Pancreatic Carcinoma|Prostate Carcinoma|Rectal Carcinoma|Recurrent Bladder Carcinoma|Recurrent Breast Carcinoma|Recurrent Cervical Carcinoma|Recurrent Colon Carcinoma|Recurrent Colorectal Carcinoma|Recurrent Esophageal Carcinoma|Recurrent Gastric Carcinoma|Recurrent Glioma|Recurrent Head and Neck Carcinoma|Recurrent Liver Carcinoma|Recurrent Lung Carcinoma|Recurrent Lymphoma|Recurrent Malignant Solid Neoplasm|Recurrent Melanoma|Recurrent Multiple Myeloma|Recurrent Ovarian Carcinoma|Recurrent Pancreatic Carcinoma|Recurrent Prostate Carcinoma|Recurrent Rectal Carcinoma|Recurrent Skin Carcinoma|Recurrent Thyroid Gland Carcinoma|Recurrent Uterine Corpus Cancer|Refractory Lymphoma|Refractory Malignant Solid Neoplasm|Refractory Multiple Myeloma|Skin Carcinoma|Thyroid Gland Carcinoma|Uterine Corpus Cancer,Binimetinib,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)F)C(=O)NOCCO,PHASE2,,urinary_system_disease
6543,5303,Bladder Cancer,Amrubicin,CC(=O)C1(CC(C2=C(C1)C(=C3C(=C2O)C(=O)C4=CC=CC=C4C3=O)O)OC5CC(C(CO5)O)O)N,PHASE2,,urinary_system_disease
6542,5302,Renal Dysfunction|Acute Renal Failure|Mortality,Ularitide,CCC(C)C1C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NCC(=O)NC(CSSCC(C(=O)NC(C(=O)NCC(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCNC(=N)N)CC(=O)O)CCSC)CCCNC(=N)N)CC2=CC=CC=C2)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)NC(=O)C3CCCN3C(=O)C(C)NC(=O)C(C(C)O)N)C(=O)NC(CC(=O)N)C(=O)NC(CO)C(=O)NC(CC4=CC=CC=C4)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC5=CC=C(C=C5)O)C(=O)O)CC(C)C)CO)CCC(=O)N)C,PHASE2,,urinary_system_disease
6541,5297,Chronic Kidney Disease,Arotinolol,CC(C)(C)NCC(CSC1=NC(=CS1)C2=CC=C(S2)C(=O)N)O,APPROVED,,urinary_system_disease
6540,5284,Renal Impairment,Betrixaban,CN(C)C(=N)C1=CC=C(C=C1)C(=O)NC2=C(C=C(C=C2)OC)C(=O)NC3=NC=C(C=C3)Cl,PHASE1,,urinary_system_disease
6539,5283,Advanced Renal Cell Carcinoma,Dalantercept,,PHASE2,,urinary_system_disease
6538,5264,Renal Insufficiency,Dalfampridine,C1=CN=CC=C1N,PHASE1,,urinary_system_disease
6537,5245,Renal Impairment,Glasdegib,CN1CCC(CC1C2=NC3=CC=CC=C3N2)NC(=O)NC4=CC=C(C=C4)C#N,PHASE1,,urinary_system_disease
6536,5219,Pruritus|Uremia|Chronic Kidney Diseases,Loratadine,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,APPROVED,,urinary_system_disease
6535,5218,Lower Urinary Tract Symptoms Associated With Benign Prostatic Hyperplasia,Naftopidil,COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC4=CC=CC=C43)O,APPROVED,,urinary_system_disease
6534,5208,Renal Impairment,Glepaglutide,CCC(C)C(C(=O)NC(C(C)O)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)N)NC(=O)C(CCCCN)NC(=O)C(C(C)O)NC(=O)C(C)NC(=O)C(C(C)CC)NC(=O)C(CC(C)C)NC(=O)C(CC1=CNC2=CC=CC=C21)NC(=O)C(C)NC(=O)C(C(C)CC)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CC(=O)O)NC(=O)C(CCCN=C(N)N)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(C(C)CC)NC(=O)C(C(C)O)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(CC4=CC=CC=C4)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)CNC(=O)C(CC5=CNC=N5)N,PHASE1,,urinary_system_disease
6533,5172,Renal Impairment,Teriflunomide,CC(=C(C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F)O,PHASE1,,urinary_system_disease
6532,5159,Somatostatin Analogs|Polycystic Liver Disease|Autosomal Dominant Polycystic Kidney Disease|Autosomal Dominant Polycystic Liver Disease,Pasireotide,C1C(CN2C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C2=O)CC3=CC=CC=C3)CC4=CC=C(C=C4)OCC5=CC=CC=C5)CCCCN)CC6=CNC7=CC=CC=C76)C8=CC=CC=C8)OC(=O)NCCN,PHASE2,,urinary_system_disease
6531,5158,Hypertension,Lercanidipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)(C)CN(C)CCC(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC,APPROVED,,urinary_system_disease
6530,5131,Acute Kidney Injury,Deferoxamine,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,PHASE2,,urinary_system_disease
6529,5100,Chronic Kidney Disease,Flucloxacillin,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,PHASE1,,urinary_system_disease
6528,5099,Chronic Kidney Disease,Floxacillin,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O,PHASE1,,urinary_system_disease
6527,5082,Complicated Skin and Skin Structure Infections|S. Aureus Bacteremia|Renal Impairment,Penicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,APPROVED,,urinary_system_disease
6526,5081,Complicated Skin and Skin Structure Infections|S. Aureus Bacteremia|Renal Impairment,Phenoxymethylpenicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C,APPROVED,,urinary_system_disease
6525,5080,Complicated Skin and Skin Structure Infections|S. Aureus Bacteremia|Renal Impairment,Daptomycin,CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC3C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C,APPROVED,,urinary_system_disease
6524,5060,Renal Impairment,Hydrocodone,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(=O)CC4,PHASE1,,urinary_system_disease
6523,5057,Venous Thromboembolism|Renal Impairment,Enoxaparin,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,APPROVED,,urinary_system_disease
6522,5045,Hyperuricemia,Rasburicase,,PHASE2,,urinary_system_disease
6521,5038,Recurrent Renal Cell Carcinoma|Stage III Renal Cell Cancer|Stage IV Renal Cell Cancer|Type 1 Papillary Renal Cell Carcinoma|Type 2 Papillary Renal Cell Carcinoma,Tivantinib,C1CC2=C3C(=CC=C2)C(=CN3C1)C4C(C(=O)NC4=O)C5=CNC6=CC=CC=C65,PHASE2,,urinary_system_disease
6520,5031,Renal Impaired|Gilteritinib|Normal Renal Function|Pharmacokinetics of ASP2215,Gilteritinib,CCC1=C(N=C(C(=N1)C(=O)N)NC2=CC(=C(C=C2)N3CCC(CC3)N4CCN(CC4)C)OC)NC5CCOCC5,PHASE1,,urinary_system_disease
6519,5019,"Carcinoma, Renal Cell",Gefitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,PHASE1|PHASE2,,urinary_system_disease
6518,5001,Renal Impairment,Asciminib,C1CN(CC1O)C2=C(C=C(C=N2)C(=O)NC3=CC=C(C=C3)OC(F)(F)Cl)C4=CC=NN4,PHASE1,,urinary_system_disease
6517,4992,Long QT Syndrome,Eleclazine,C1COC2=C(C=C(C=C2)C3=CC=C(C=C3)OC(F)(F)F)C(=O)N1CC4=NC=CC=N4,PHASE1,,urinary_system_disease
6516,4968,Nocturia,Fedovapagon,CC1=C(C=CC(=C1)C(=O)N2CCCCC3=CC=CC=C32)CNC(=O)N4CCCC4C(=O)N(C)C,PHASE2|PHASE3,,urinary_system_disease
6515,4966,HIV Infections,Darunavir,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N,PHASE2,,urinary_system_disease
6514,4965,HIV Infections,Atazanavir,CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC,PHASE2,,urinary_system_disease
6513,4963,HIV Infections,Lopinavir,CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O,PHASE2,,urinary_system_disease
6512,4962,HIV Infections,Emtricitabine,C1C(OC(S1)CO)N2C=C(C(=NC2=O)N)F,PHASE2,,urinary_system_disease
6511,4958,HIV Infections,Raltegravir,CC1=NN=C(O1)C(=O)NC(C)(C)C2=NC(=C(C(=O)N2C)O)C(=O)NCC3=CC=C(C=C3)F,PHASE2,,urinary_system_disease
6510,4932,Renal Impairment,Evobrutinib,C=CC(=O)N1CCC(CC1)CNC2=NC=NC(=C2C3=CC=C(C=C3)OC4=CC=CC=C4)N,PHASE1,,urinary_system_disease
6509,4926,Renal Insufficiency,Odalasvir,CC(C)C(C(=O)N1C2CCCCC2CC1C3=NC4=C(N3)C=C(C=C4)C5=C6CCC7=CC(=C(CCC(=C5)C=C6)C=C7)C8=CC9=C(C=C8)N=C(N9)C1CC2CCCCC2N1C(=O)C(C(C)C)NC(=O)OC)NC(=O)OC,PHASE1,,urinary_system_disease
6508,4922,Chronic Kidney Diseases,Quetiapine,C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42,PHASE1,,urinary_system_disease
