,Conditions,Drug,Smiles,Phases,Disease
46,Chemotherapeutic Agent Toxicity|Cognitive/Functional Effects|Lymphoma|Neurotoxicity|Radiation Toxicity,Procarbazine,CC(C)NC(=O)C1=CC=C(C=C1)CNNC,PHASE2,immune_system_disease
47,Hodgkin's Disease,Melphalan,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,PHASE2,immune_system_disease
48,Hodgkin's Disease,Tacrolimus,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC,PHASE2,immune_system_disease
49,Idiopathic Thrombocytopenic Purpura,Romiplostim,CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C,PHASE2,immune_system_disease
50,Asthma|Heart Rate Fast,Albuterol,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,APPROVED,immune_system_disease
51,Myasthenia Gravis,Salbutamol,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,PHASE2|PHASE3,immune_system_disease
52,Type 1 Diabetes,Pramlintide,CCC(C)C(C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)N2CCCC2C(=O)NC(C(C)O)C(=O)NC(CC(=O)N)C(=O)NC(C(C)C)C(=O)NCC(=O)NC(CO)C(=O)NC(CC(=O)N)C(=O)NC(C(C)O)C(=O)NC(CC3=CC=C(C=C3)O)C(=O)N)NC(=O)C4CCCN4C(=O)CNC(=O)C(CC5=CC=CC=C5)NC(=O)C(CC(=O)N)NC(=O)C(CC(=O)N)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(CC6=CNC=N6)NC(=O)C(C(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC7=CC=CC=C7)NC(=O)C(CC(=O)N)NC(=O)C(C)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCC(=O)N)NC(=O)C(C(C)O)NC(=O)C(C)NC(=O)C8CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N8)C(C)O)C)C(C)O)CC(=O)N)NC(=O)C(CCCCN)N,APPROVED,immune_system_disease
53,HIV Infections,Mycophenolate,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)O)O,PHASE2,immune_system_disease
54,HIV Infections,Amdoxovir,C1C(OC(O1)CO)N2C=NC3=C(N=C(N=C32)N)N,PHASE2,immune_system_disease
55,Systemic Lupus Erythematosus (SLE),Upadacitinib,CCC1CN(CC1C2=CN=C3N2C4=C(NC=C4)N=C3)C(=O)NCC(F)(F)F,PHASE2,immune_system_disease
56,Abdominal Pain|Inflammatory Bowel Diseases|Eosinophilic Gastroenteritis|Diarrhea|Hematochezia|Weight Loss,Ondansetron,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C,APPROVED,immune_system_disease
57,Type 1 Diabetes|Diabetic Kidney Disease|Cardiovascular Diseases|Endothelial Dysfunction|Insulin Sensitivity,Metformin,CN(C)C(=N)N=C(N)N,PHASE1,immune_system_disease
58,Type 1 Diabetes|Diabetic Kidney Disease|Cardiovascular Diseases|Endothelial Dysfunction|Insulin Sensitivity,Iohexol,CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I,PHASE1,immune_system_disease
59,Asthma,Budesonide,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,APPROVED,immune_system_disease
61,Juvenile Idiopathic Arthritis|Joint Inflammation,Dexmedetomidine,CC1=C(C(=CC=C1)C(C)C2=CN=CN2)C,APPROVED,immune_system_disease
62,"Lupus Erythematosus, Systemic",Memantine,CC12CC3CC(C1)(CC(C3)(C2)N)C,PHASE2,immune_system_disease
64,Peripheral T-cell Lymphoma,Pralatrexate,C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,PHASE1|PHASE2,immune_system_disease
65,Human Immunodeficiency Virus|HIV,Islatravir,C#CC1(C(CC(O1)N2C=NC3=C(N=C(N=C32)F)N)O)CO,PHASE2,immune_system_disease
66,Relapsed or Refractory Diffuse Large B-Cell Lymphoma,Selinexor,C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,PHASE1|PHASE2,immune_system_disease
68,Asthma in Children,Triamcinolone,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,PHASE2,immune_system_disease
69,Newly Diagnosed Peripheral T-cell Lymphoma,Rivoceranib,C1CCC(C1)(C#N)C2=CC=C(C=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4,APPROVED,immune_system_disease
70,Anaphylaxis|Hypotension|Bronchospasm|Angioedema,Epinephrine,CNCC(C1=CC(=C(C=C1)O)O)O,PHASE2,immune_system_disease
72,DS Stage II Plasma Cell Myeloma|DS Stage III Plasma Cell Myeloma|Refractory Plasma Cell Myeloma,Romidepsin,CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C,PHASE2,immune_system_disease
74,ALK+ Anaplastic Large Cell Lymphoma,Imatinib,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,PHASE1|PHASE2,immune_system_disease
75,Multiple Sclerosis,Dexrazoxane,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,PHASE2,immune_system_disease
77,Stage IB-IIB Cutaneous T-Cell Lymphoma,Tricyclazole,CC1=C2C(=CC=C1)SC3=NN=CN23,PHASE2,immune_system_disease
79,Stroke|Inflammation,Fingolimod,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,PHASE2,immune_system_disease
81,IGA Nephropathy,Fostamatinib,CC1(C(=O)N(C2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)COP(=O)(O)O)C,PHASE2,immune_system_disease
82,Type1diabetes,Dapagliflozin,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C3C(C(C(C(O3)CO)O)O)O)Cl,PHASE1,immune_system_disease
84,Chronic Lymphoid Leukemia,Zanubrutinib,C=CC(=O)N1CCC(CC1)C2CCNC3=C(C(=NN23)C4=CC=C(C=C4)OC5=CC=CC=C5)C(=O)N,PHASE2,immune_system_disease
85,Asthma,Azithromycin,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,APPROVED,immune_system_disease
86,"Drug Monitoring|Carcinoma, Non-Small-Cell Lung|Lung Cancer|Anaplastic Lymphoma Kinase Gene Mutation|Anaplastic Lymphoma Kinase Gene Translocation",Alectinib,CCC1=CC2=C(C=C1N3CCC(CC3)N4CCOCC4)C(C5=C(C2=O)C6=C(N5)C=C(C=C6)C#N)(C)C,APPROVED,immune_system_disease
87,"Rhinitis, Allergic, Perennial",Loratadine,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,APPROVED,immune_system_disease
88,"Purpura, Thrombocytopaenic, Idiopathic",Ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,PHASE1,immune_system_disease
89,"Purpura, Thrombocytopaenic, Idiopathic",Eltrombopag,CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)N=NC3=CC=CC(=C3O)C4=CC(=CC=C4)C(=O)O)C,PHASE1,immune_system_disease
96,Skin Inflammation|Allergic Contact Dermatitis,Betamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C,PHASE2|PHASE3,immune_system_disease
97,Skin Inflammation|Allergic Contact Dermatitis,Fluticasone,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)SCF)O)C)O)F)C)F,PHASE2|PHASE3,immune_system_disease
98,Follicular Lymphoma|B-Cell Lymphoma|Mantle Cell Lymphoma|Diffuse Large B Cell Lymphoma,Tazemetostat,CCN(C1CCOCC1)C2=CC(=CC(=C2C)C(=O)NCC3=C(C=C(NC3=O)C)C)C4=CC=C(C=C4)CN5CCOCC5,PHASE1,immune_system_disease
100,Hodgkin Disease,Vinblastine,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,PHASE2,immune_system_disease
101,Hodgkin Disease,Dacarbazine,CN(C)N=NC1=C(NC=N1)C(=O)N,PHASE2,immune_system_disease
102,Acute Myelogenous Leukemia|Acute Lymphocytic Leukemia|Chronic Myelogenous Leukemia|Chronic Lymphocytic Leukemia|Myelodysplastic Syndromes|Multiple Myeloma|Non-Hodgkins Lymphoma|Hodgkins Disease|Peripheral T-cell Lymphoma,Cyclosporine,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,PHASE2,immune_system_disease
103,Acute Myelogenous Leukemia|Acute Lymphocytic Leukemia|Chronic Myelogenous Leukemia|Chronic Lymphocytic Leukemia|Myelodysplastic Syndromes|Multiple Myeloma|Non-Hodgkins Lymphoma|Hodgkins Disease|Peripheral T-cell Lymphoma,Pentostatin,C1C(C(OC1N2C=NC3=C2NC=NCC3O)CO)O,PHASE2,immune_system_disease
104,Asthma,Mometasone,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)O)C)O)Cl)C,APPROVED,immune_system_disease
105,"Infections, Human Immunodeficiency Virus and Herpesviridae",Dolutegravir,CC1CCOC2N1C(=O)C3=C(C(=O)C(=CN3C2)C(=O)NCC4=C(C=C(C=C4)F)F)O,PHASE1,immune_system_disease
106,Neuromyelitis Optica Spectrum Disorder,Azathioprine,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],PHASE2|PHASE3,immune_system_disease
108,Acute Myeloid Leukemia|Acute Lymphoblastic Leukemia,Aspacytarabine,C1=CN(C(=O)N=C1NC(=O)CC(C(=O)O)N)C2C(C(C(O2)CO)O)O,PHASE1|PHASE2,immune_system_disease
109,HIV Infections,Lamivudine,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,PHASE2,immune_system_disease
110,HIV Infections,Didanosine,C1CC(OC1CO)N2C=NC3=C2N=CNC3=O,PHASE2,immune_system_disease
111,Peripheral T Cell Lymphoma,Epirubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,PHASE2,immune_system_disease
112,Post-nasal Drip|Seasonal Allergic Rhinitis|Rhinorrhea,Desloratadine,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,PHASE2,immune_system_disease
113,Post-nasal Drip|Seasonal Allergic Rhinitis|Rhinorrhea,Oxybutynin,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,PHASE2,immune_system_disease
115,Relapsing-remitting Multiple Sclerosis,Glatiramer,CC(C(=O)O)N.C1=CC(=CC=C1CC(C(=O)O)N)O.C(CCN)CC(C(=O)O)N.C(CC(=O)O)C(C(=O)O)N,APPROVED,immune_system_disease
116,HIV Infections|Cachexia|Anorexia|AIDS Wasting Syndrome|HIV Wasting Syndrome,Megestrol,CC1=CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C,PHASE2,immune_system_disease
117,HIV Infections|Pregnancy,Ritonavir,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,PHASE1,immune_system_disease
118,"Healthy Subjects|Infection, Human Immunodeficiency Virus",Midazolam,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,PHASE1,immune_system_disease
119,"Healthy Subjects|Infection, Human Immunodeficiency Virus",Dextromethorphan,CN1CCC23CCCCC2C1CC4=C3C=C(C=C4)OC,PHASE1,immune_system_disease
120,"Healthy Subjects|Infection, Human Immunodeficiency Virus",Flurbiprofen,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,PHASE1,immune_system_disease
121,Atopic Dermatitis,Baricitinib,CCS(=O)(=O)N1CC(C1)(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,PHASE2,immune_system_disease
122,URTICARIA,Rupatadine,CC1=CC(=CN=C1)CN2CCC(=C3C4=C(CCC5=C3N=CC=C5)C=C(C=C4)Cl)CC2,PHASE2,immune_system_disease
123,"Dermatitis, Atopic",Branebrutinib,CC#CC(=O)NC1CCCN(C1)C2=C(C=C(C3=C2C(=C(N3)C)C)C(=O)N)F,PHASE2,immune_system_disease
124,Recurrent Chronic Lymphocytic Leukemia|Recurrent Small Lymphocytic Lymphoma|Refractory Chronic Lymphocytic Leukemia|Refractory Small Lymphocytic Lymphoma,Duvelisib,CC(C1=CC2=C(C(=CC=C2)Cl)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,PHASE2,immune_system_disease
125,Rheumatoid Arthritis,Methylprednisolone,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,PHASE2,immune_system_disease
126,Rheumatoid Arthritis,Folate,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,PHASE2,immune_system_disease
127,"Lymphoma, Non-Hodgkin|Multiple Myeloma",Plerixafor,C1CNCCNCCCN(CCNC1)CC2=CC=C(C=C2)CN3CCCNCCNCCCNCC3,PHASE2,immune_system_disease
128,Chronic Lymphocytic Leukemia|Mantle Cell Lymphoma|Diffuse Large B-cell Lymphoma|Non-FL Indolent Non-Hodgkin's Lymphoma|Follicular Lymphoma,Entospletinib,C1COCCN1C2=CC=C(C=C2)NC3=NC(=CN4C3=NC=C4)C5=CC6=C(C=C5)C=NN6,PHASE2,immune_system_disease
129,Mantle Cell Lymphoma,Chlorambucil,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,PHASE2,immune_system_disease
130,Multiple Sclerosis,Teriflunomide,CC(=C(C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F)O,PHASE2,immune_system_disease
132,Acute Lymphoblastic Leukemia|Acute Myelogenous Leukemia|Mixed Phenotype Acute Leukemia|Acute Leukemia|Myelodysplastic Syndromes|Chronic Myelogenous Leukemia|Chronic Lymphocytic Leukemia|Lymphoma,Mesna,C(CS(=O)(=O)[O-])S.[Na+],PHASE2,immune_system_disease
133,"Leukemia, Acute|Leukemia, T Cell|Leukemia, Lymphoblastic",Tucidinostat,C1=CC(=CN=C1)C=CC(=O)NCC2=CC=C(C=C2)C(=O)NC3=C(C=C(C=C3)F)N,PHASE2|PHASE3,immune_system_disease
134,"Leukemia, Acute|Leukemia, T Cell|Leukemia, Lymphoblastic",Idarubicin,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O,PHASE2|PHASE3,immune_system_disease
135,"Leukemia, Acute|Leukemia, T Cell|Leukemia, Lymphoblastic",Pegaspargase,CC1=CC(=C(C=C1)C(=O)C(=C)CN(C)C)C,PHASE2|PHASE3,immune_system_disease
136,"Leukemia, Acute|Leukemia, T Cell|Leukemia, Lymphoblastic",Mercaptopurine,C1=NC2=C(N1)C(=S)N=CN2,PHASE2|PHASE3,immune_system_disease
137,Multiple Myeloma,Thalidomide,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,PHASE2,immune_system_disease
138,Multiple Myeloma,Pomalidomide,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C(=CC=C3)N,PHASE1|PHASE2,immune_system_disease
139,Multiple Myeloma,Carfilzomib,CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCC3=CC=CC=C3)NC(=O)CN4CCOCC4,PHASE2,immune_system_disease
141,Human Immunodeficiency Virus,Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,PHASE2,immune_system_disease
142,Human Immunodeficiency Virus,Atorvastatin,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,PHASE2,immune_system_disease
144,Relapsed or Refractory Multiple Myeloma,Vorinostat,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,PHASE2,immune_system_disease
147,Large-B-cell Diffuse Lymphoma|Chronic Lymphoid Leukemia,Tenofovir,CC(CN1C=NC2=C(N=CN=C21)N)OCP(=O)(O)O,PHASE2,immune_system_disease
148,"Arthritis, Rheumatoid",Apremilast,CCOC1=C(C=CC(=C1)C(CS(=O)(=O)C)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C)OC,PHASE2,immune_system_disease
149,Penicillin Allergy,Phenoxymethylpenicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C,APPROVED,immune_system_disease
150,Penicillin Allergy,Penicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,APPROVED,immune_system_disease
